 tracl=142	 tracr=142	  fldr=3	 tracf=19	   cdp=23	  trid=1	offset=-575	scalel=1	    sx=100	    gx=-475	    ns=251	    dt=8000	

 tracl=143	 tracr=143	  fldr=2	 tracf=21	   cdp=23	  trid=1	offset=-475	scalel=1	    sx=50	    gx=-425	    ns=251	    dt=8000	

 tracl=144	 tracr=144	  fldr=1	 tracf=23	   cdp=23	  trid=1	offset=-375	scalel=1	    sx=0	    gx=-375	    ns=251	    dt=8000	

 tracl=145	 tracr=145	  fldr=12	 tracf=2	   cdp=24	  trid=1	offset=-1425	scalel=1	    sx=550	    gx=-875	    ns=251	    dt=8000	

 tracl=146	 tracr=146	  fldr=11	 tracf=4	   cdp=24	  trid=1	offset=-1325	scalel=1	    sx=500	    gx=-825	    ns=251	    dt=8000	

 tracl=147	 tracr=147	  fldr=10	 tracf=6	   cdp=24	  trid=1	offset=-1225	scalel=1	    sx=450	    gx=-775	    ns=251	    dt=8000	

 tracl=148	 tracr=148	  fldr=9	 tracf=8	   cdp=24	  trid=1	offset=-1125	scalel=1	    sx=400	    gx=-725	    ns=251	    dt=8000	

 tracl=149	 tracr=149	  fldr=8	 tracf=10	   cdp=24	  trid=1	offset=-1025	scalel=1	    sx=350	    gx=-675	    ns=251	    dt=8000	

 tracl=150	 tracr=150	  fldr=7	 tracf=12	   cdp=24	  trid=1	offset=-925	scalel=1	    sx=300	    gx=-625	    ns=251	    dt=8000	

 tracl=151	 tracr=151	  fldr=6	 tracf=14	   cdp=24	  trid=1	offset=-825	scalel=1	    sx=250	    gx=-575	    ns=251	    dt=8000	

 tracl=152	 tracr=152	  fldr=5	 tracf=16	   cdp=24	  trid=1	offset=-725	scalel=1	    sx=200	    gx=-525	    ns=251	    dt=8000	

 tracl=153	 tracr=153	  fldr=4	 tracf=18	   cdp=24	  trid=1	offset=-625	scalel=1	    sx=150	    gx=-475	    ns=251	    dt=8000	

 tracl=154	 tracr=154	  fldr=3	 tracf=20	   cdp=24	  trid=1	offset=-525	scalel=1	    sx=100	    gx=-425	    ns=251	    dt=8000	

 tracl=155	 tracr=155	  fldr=2	 tracf=22	   cdp=24	  trid=1	offset=-425	scalel=1	    sx=50	    gx=-375	    ns=251	    dt=8000	

 tracl=156	 tracr=156	  fldr=1	 tracf=24	   cdp=24	  trid=1	offset=-325	scalel=1	    sx=0	    gx=-325	    ns=251	    dt=8000	

 tracl=157	 tracr=157	  fldr=13	 tracf=1	   cdp=25	  trid=1	offset=-1475	scalel=1	    sx=600	    gx=-875	    ns=251	    dt=8000	

 tracl=158	 tracr=158	  fldr=12	 tracf=3	   cdp=25	  trid=1	offset=-1375	scalel=1	    sx=550	    gx=-825	    ns=251	    dt=8000	

 tracl=159	 tracr=159	  fldr=11	 tracf=5	   cdp=25	  trid=1	offset=-1275	scalel=1	    sx=500	    gx=-775	    ns=251	    dt=8000	

 tracl=160	 tracr=160	  fldr=10	 tracf=7	   cdp=25	  trid=1	offset=-1175	scalel=1	    sx=450	    gx=-725	    ns=251	    dt=8000	

 tracl=161	 tracr=161	  fldr=9	 tracf=9	   cdp=25	  trid=1	offset=-1075	scalel=1	    sx=400	    gx=-675	    ns=251	    dt=8000	

 tracl=162	 tracr=162	  fldr=8	 tracf=11	   cdp=25	  trid=1	offset=-975	scalel=1	    sx=350	    gx=-625	    ns=251	    dt=8000	

 tracl=163	 tracr=163	  fldr=7	 tracf=13	   cdp=25	  trid=1	offset=-875	scalel=1	    sx=300	    gx=-575	    ns=251	    dt=8000	

 tracl=164	 tracr=164	  fldr=6	 tracf=15	   cdp=25	  trid=1	offset=-775	scalel=1	    sx=250	    gx=-525	    ns=251	    dt=8000	

 tracl=165	 tracr=165	  fldr=5	 tracf=17	   cdp=25	  trid=1	offset=-675	scalel=1	    sx=200	    gx=-475	    ns=251	    dt=8000	

 tracl=166	 tracr=166	  fldr=4	 tracf=19	   cdp=25	  trid=1	offset=-575	scalel=1	    sx=150	    gx=-425	    ns=251	    dt=8000	

